p00,p01,p10,p11,Circuit,QC Name
0.486,0.494,0.011,0.009,1,santiago
0.276,0.22,0.267,0.237,2,santiago
0.074,0.366,0.281,0.279,3,santiago
0.134,0.338,0.254,0.274,4,santiago
0.182,0.306,0.212,0.3,5,santiago
0.332,0.208,0.166,0.294,6,santiago
0.348,0.162,0.302,0.188,7,santiago
0.293,0.206,0.297,0.204,8,santiago
0.264,0.229,0.318,0.189,9,santiago
0.486,0.495,0.012,0.007,1,santiago
0.308,0.216,0.246,0.23,2,santiago
0.065,0.393,0.278,0.264,3,santiago
0.126,0.345,0.239,0.29,4,santiago
0.157,0.334,0.21,0.299,5,santiago
0.309,0.2,0.161,0.33,6,santiago
0.349,0.168,0.301,0.182,7,santiago
0.296,0.182,0.331,0.191,8,santiago
0.264,0.234,0.314,0.188,9,santiago
0.489,0.501,0.006,0.004,1,santiago
0.297,0.231,0.26,0.212,2,santiago
0.074,0.374,0.251,0.301,3,santiago
0.118,0.338,0.248,0.296,4,santiago
0.16,0.313,0.22,0.307,5,santiago
0.325,0.245,0.165,0.265,6,santiago
0.317,0.177,0.329,0.177,7,santiago
0.304,0.193,0.302,0.201,8,santiago
0.277,0.281,0.287,0.155,9,santiago
0.505,0.481,0.007,0.007,1,santiago
0.302,0.229,0.24,0.229,2,santiago
0.072,0.369,0.27,0.289,3,santiago
0.134,0.326,0.251,0.289,4,santiago
0.186,0.319,0.214,0.281,5,santiago
0.327,0.2,0.175,0.298,6,santiago
0.317,0.179,0.327,0.177,7,santiago
0.286,0.177,0.311,0.226,8,santiago
0.275,0.252,0.274,0.199,9,santiago
0.503,0.481,0.009,0.007,1,santiago
0.275,0.227,0.256,0.242,2,santiago
0.089,0.359,0.268,0.284,3,santiago
0.12,0.353,0.261,0.266,4,santiago
0.175,0.306,0.223,0.296,5,santiago
0.302,0.213,0.185,0.3,6,santiago
0.342,0.172,0.313,0.173,7,santiago
0.285,0.184,0.325,0.206,8,santiago
0.238,0.266,0.322,0.174,9,santiago
0.49,0.486,0.013,0.011,1,santiago
0.299,0.223,0.261,0.217,2,santiago
0.075,0.35,0.264,0.311,3,santiago
0.125,0.319,0.242,0.314,4,santiago
0.148,0.337,0.199,0.316,5,santiago
0.338,0.215,0.158,0.289,6,santiago
0.334,0.171,0.335,0.16,7,santiago
0.293,0.193,0.312,0.202,8,santiago
0.285,0.244,0.27,0.201,9,santiago
0.469,0.51,0.012,0.009,1,santiago
0.327,0.238,0.234,0.201,2,santiago
0.068,0.366,0.29,0.276,3,santiago
0.112,0.329,0.274,0.285,4,santiago
0.125,0.339,0.213,0.323,5,santiago
0.336,0.21,0.194,0.26,6,santiago
0.332,0.169,0.32,0.179,7,santiago
0.329,0.188,0.297,0.186,8,santiago
